# k               u                 rapidity          phi
+6.826965e+13     +5.298036e-01     +5.000000e+00     +1.260877e-22
+1.029034e+14     +5.349976e-01     +5.000000e+00     +6.116683e-23
+1.548606e+14     +5.401715e-01     +5.000000e+00     +2.973905e-23
+2.326774e+14     +5.453250e-01     +5.000000e+00     +1.449174e-23
+3.490303e+14     +5.504580e-01     +5.000000e+00     +7.078150e-24
+5.227102e+14     +5.555702e-01     +5.000000e+00     +3.465284e-24
+7.815221e+14     +5.606616e-01     +5.000000e+00     +1.700594e-24
+1.166534e+15     +5.657318e-01     +5.000000e+00     +8.366028e-25
+1.738291e+15     +5.707807e-01     +5.000000e+00     +4.125882e-25
+2.585893e+15     +5.758082e-01     +5.000000e+00     +2.039890e-25
+3.840207e+15     +5.808140e-01     +5.000000e+00     +1.011139e-25
+5.693097e+15     +5.857979e-01     +5.000000e+00     +5.025074e-26
+8.425308e+15     +5.907597e-01     +5.000000e+00     +2.503933e-26
+1.244686e+16     +5.956993e-01     +5.000000e+00     +1.251021e-26
+1.835543e+16     +6.006165e-01     +5.000000e+00     +6.267421e-27
+2.702050e+16     +6.055110e-01     +5.000000e+00     +3.148532e-27
+3.970453e+16     +6.103828e-01     +5.000000e+00     +1.586144e-27
+5.823691e+16     +6.152316e-01     +5.000000e+00     +8.013183e-28
+8.526323e+16     +6.200572e-01     +5.000000e+00     +4.059897e-28
+1.246018e+17     +6.248595e-01     +5.000000e+00     +2.062932e-28
+1.817522e+17     +6.296382e-01     +5.000000e+00     +1.051318e-28
+2.646195e+17     +6.343933e-01     +5.000000e+00     +5.373709e-29
+3.845427e+17     +6.391244e-01     +5.000000e+00     +2.755019e-29
+5.577526e+17     +6.438315e-01     +5.000000e+00     +1.416763e-29
+8.074340e+17     +6.485144e-01     +5.000000e+00     +7.308196e-30
+1.166634e+18     +6.531728e-01     +5.000000e+00     +3.781599e-30
+1.682359e+18     +6.578067e-01     +5.000000e+00     +1.962959e-30
+2.421325e+18     +6.624158e-01     +5.000000e+00     +1.022183e-30
+3.478017e+18     +6.669999e-01     +5.000000e+00     +5.340054e-31
+4.985959e+18     +6.715590e-01     +5.000000e+00     +2.798810e-31
+7.133428e+18     +6.760927e-01     +5.000000e+00     +1.471735e-31
+1.018532e+19     +6.806010e-01     +5.000000e+00     +7.764710e-32
+1.451348e+19     +6.850837e-01     +5.000000e+00     +4.110336e-32
+2.063877e+19     +6.895405e-01     +5.000000e+00     +2.183215e-32
+2.928905e+19     +6.939715e-01     +5.000000e+00     +1.163590e-32
+4.147920e+19     +6.983762e-01     +5.000000e+00     +6.222977e-33
+5.862101e+19     +7.027547e-01     +5.000000e+00     +3.339702e-33
+8.267391e+19     +7.071068e-01     +5.000000e+00     +1.798617e-33
